#lat,#lon
40.1074845,-88.27921900000001
34.099496,-117.9248945
40.780709,-73.9685415
37.2691755,-119.30660750000001
38.003375500000004,-79.42086499999999
40.1662525,-80.2680565
41.1179365,-77.60468399999999
45.001180000000005,-86.27053950000001
28.9698625,-111.498181
39.2794515,-84.401168
42.9944585,-83.72561
34.0789965,-98.5678905
31.1688935,-100.0768885
39.320384000000004,-82.0964045
33.5528625,-112.12467649999999
28.501678499999997,-81.3677725
33.24548,-95.9046305
33.481181,-86.73975
38.3045585,-92.4367735
34.0207895,-118.4119065
38.561722,-121.469664
29.417501,-98.54065150000001
38.997935999999996,-105.5508905
39.713563,-104.9220935
41.240974,-87.8389235
40.0048655,-75.117998
40.0947845,-75.3817475
39.685852,-105.1233195
28.1402165,-81.47667650000001
34.7519365,-92.131274
38.4522175,-122.6761085
29.791787999999997,-95.50362050000001
42.226541999999995,-84.42892549999999
40.2951135,-111.69646850000001
28.374332000000003,-81.34974000000001
25.778679,-100.1687175
29.838495,-95.44648649999999
42.34114,-83.054849
42.507217999999995,-83.157747
44.900818,-89.5694915
41.5665785,-73.022108
